2024-05-29 19:20:01 INFO     DecisionMaking:20 - Number is odd
  2024-05-29 19:37:00 INFO     StringsTraining:12 - H
  2024-05-29 19:37:00 INFO     StringsTraining:12 - e
  2024-05-29 19:37:00 INFO     StringsTraining:12 - l
  2024-05-29 19:37:00 INFO     StringsTraining:12 - l
  2024-05-29 19:37:00 INFO     StringsTraining:12 - o
  2024-05-29 19:37:00 INFO     StringsTraining:12 -  
  2024-05-29 19:37:00 INFO     StringsTraining:12 - w
  2024-05-29 19:37:00 INFO     StringsTraining:12 - o
  2024-05-29 19:37:00 INFO     StringsTraining:12 - r
  2024-05-29 19:37:00 INFO     StringsTraining:12 - l
  2024-05-29 19:37:00 INFO     StringsTraining:12 - d
  2024-05-29 19:44:03 INFO     StringsTraining:12 - H
  2024-05-29 19:44:03 INFO     StringsTraining:12 - e
  2024-05-29 19:44:03 INFO     StringsTraining:12 - l
  2024-05-29 19:44:03 INFO     StringsTraining:12 - l
  2024-05-29 19:44:03 INFO     StringsTraining:12 - o
  2024-05-29 19:44:03 INFO     StringsTraining:12 -  
  2024-05-29 19:44:03 INFO     StringsTraining:12 - w
  2024-05-29 19:44:03 INFO     StringsTraining:12 - o
  2024-05-29 19:44:03 INFO     StringsTraining:12 - r
  2024-05-29 19:44:03 INFO     StringsTraining:12 - l
  2024-05-29 19:44:03 INFO     StringsTraining:12 - d
  2024-05-29 19:44:03 INFO     StringsTraining:18 - helloworld
  2024-05-29 20:10:50 INFO     Animal:6 - Dog barks
  2024-05-29 20:10:56 INFO     Animal:7 - Animal makes noise
  2024-05-29 20:12:43 INFO     Animal:6 - Dog barks
  2024-05-29 20:12:49 INFO     Animal:7 - Animal makes noise
  2024-05-29 20:14:12 INFO     Animal:7 - Animal makes noise
  2024-05-29 20:14:22 INFO     Animal:6 - Dog barks
  2024-05-29 20:29:50 INFO     Main:11 - 0
  2024-05-29 20:29:50 INFO     Main:11 - 1
  2024-05-29 20:29:50 INFO     Main:11 - 2
  2024-05-29 20:29:50 INFO     Main:11 - 3
  2024-05-29 20:29:50 INFO     Main:11 - 4
  2024-05-29 20:29:50 INFO     Main:11 - 5
  2024-05-29 20:29:50 INFO     Main:11 - 6
  2024-05-29 20:29:50 INFO     Main:11 - 7
  2024-05-29 20:29:50 INFO     Main:11 - 8
  2024-05-29 20:29:50 INFO     Main:11 - 9
